Time	Left_x	Left_y	Left_z	Right_x	Right_y	Right_z
14:09:50.706171	0.005454	-0.008727	0.009817	0.006545	0.003272	-0.004363
14:09:50.716657	0.003272	-0.003272	0.004363	0.001091	-0.002182	0.002182
14:09:50.726093	0.003272	0.002182	0.005454	0.000000	-0.008727	-0.004363
14:09:50.736150	0.004363	-0.007636	-0.002182	-0.003272	-0.005454	-0.003272
14:09:50.746094	0.000000	-0.006545	-0.004363	-0.002182	0.000000	0.000000
14:09:50.756100	-0.004363	0.007636	-0.001091	-0.003272	-0.001091	0.004363
14:09:50.766112	-0.004363	0.001091	0.002182	-0.009817	0.007636	0.002182
14:09:50.776803	-0.002182	0.001091	0.001091	-0.004363	0.010908	0.003272
14:09:50.786130	-0.002182	0.002182	0.000000	-0.007636	0.001091	-0.002182
14:09:50.796431	-0.005454	-0.001091	0.004363	0.004363	-0.001091	0.000000
14:09:50.806153	0.001091	-0.006545	0.005454	-0.006545	0.007636	0.003272
14:09:50.816090	-0.002182	-0.002182	0.003272	-0.001091	-0.004363	0.005454
14:09:50.826153	0.002182	0.001091	-0.002182	0.000000	0.007636	0.005454
14:09:50.836106	-0.001091	-0.002182	0.002182	0.001091	0.003272	0.009817
14:09:50.846140	0.003272	-0.001091	-0.007636	-0.004363	-0.003272	-0.003272
14:09:50.856081	0.000000	-0.004363	0.002182	-0.007636	-0.003272	-0.002182
14:09:50.866095	0.002182	0.006545	0.003272	-0.001091	0.001091	0.001091
14:09:50.876552	-0.005454	0.004363	-0.002182	-0.001091	-0.004363	-0.002182
14:09:50.886695	-0.001091	0.003272	-0.002182	-0.002182	0.002182	0.001091
14:09:50.896074	-0.004363	-0.002182	0.002182	-0.004363	0.001091	0.003272
14:09:50.906293	0.002182	-0.005454	0.000000	0.001091	0.005454	0.006545
14:09:50.916170	0.001091	-0.001091	0.002182	0.000000	-0.002182	-0.001091
14:09:50.926094	0.002182	0.004363	-0.009817	0.006545	-0.005454	-0.003272
14:09:50.936134	0.003272	-0.002182	0.001091	0.005454	-0.001091	0.003272
14:09:50.946089	0.004363	-0.001091	0.002182	0.005454	-0.004363	-0.004363
14:09:50.956139	0.006545	0.000000	-0.001091	-0.002182	-0.008727	0.000000
14:09:50.966460	0.002182	-0.001091	-0.001091	0.003272	0.000000	0.002182
14:09:50.976185	0.004363	-0.001091	0.005454	0.002182	-0.002182	0.002182
14:09:50.986095	0.000000	0.005454	0.000000	0.003272	-0.005454	0.004363
14:09:50.996153	-0.002182	0.005454	0.000000	0.003272	0.000000	0.002182
14:09:51.006089	-0.003272	-0.001091	0.007636	-0.005454	-0.001091	0.000000
14:09:51.016075	-0.003272	0.001091	-0.002182	-0.007636	0.000000	0.004363
14:09:51.026150	-0.008727	-0.004363	-0.003272	-0.001091	-0.002182	0.004363
14:09:51.036085	-0.006545	0.001091	0.002182	-0.002182	0.002182	0.008727
14:09:51.046125	-0.002182	-0.004363	0.004363	-0.001091	0.000000	0.003272
14:09:51.056354	-0.010908	0.005454	0.000000	-0.002182	-0.008727	0.002182
14:09:51.066116	-0.003272	0.002182	0.004363	0.001091	0.010908	-0.005454
14:09:51.076076	0.000000	-0.005454	0.002182	0.002182	0.001091	-0.006545
14:09:51.086117	-0.004363	-0.001091	-0.004363	0.002182	0.004363	-0.001091
14:09:51.096074	0.003272	0.000000	-0.002182	0.001091	0.001091	-0.002182
14:09:51.106128	0.007636	-0.001091	0.003272	0.003272	0.000000	-0.003272
14:09:51.116137	0.000000	-0.001091	0.000000	-0.001091	-0.003272	-0.006545
14:09:51.126134	-0.003272	0.001091	0.000000	-0.001091	-0.009817	0.004363
14:09:51.136079	0.002182	0.005454	-0.002182	0.001091	0.004363	0.003272
14:09:51.146186	-0.001091	-0.005454	-0.001091	0.004363	-0.014181	0.001091
14:09:51.156088	0.005454	-0.002182	-0.003272	0.002182	-0.005454	0.006545
14:09:51.166126	-0.001091	-0.001091	-0.001091	0.000000	0.007636	-0.002182
14:09:51.176078	-0.001091	-0.003272	0.000000	0.001091	0.002182	0.004363
14:09:51.186116	-0.001091	-0.004363	0.003272	-0.001091	0.001091	0.007636
14:09:51.196109	0.000000	-0.001091	-0.006545	-0.005454	-0.004363	0.002182
14:09:51.206110	-0.007636	0.006545	0.007636	-0.004363	0.006545	0.003272
14:09:51.216070	0.004363	-0.001091	0.009817	0.005454	-0.011999	0.001091
14:09:51.226118	-0.001091	0.000000	-0.002182	-0.001091	0.011999	0.002182
14:09:51.236088	-0.003272	-0.001091	-0.003272	0.004363	0.000000	0.005454
14:09:51.246993	0.001091	0.004363	0.002182	0.000000	-0.002182	-0.001091
14:09:51.256482	-0.001091	-0.004363	-0.003272	0.003272	-0.007636	0.005454
14:09:51.266075	-0.004363	-0.006545	-0.002182	-0.004363	0.003272	-0.007636
14:09:51.276101	-0.003272	0.004363	-0.003272	-0.004363	0.005454	0.005454
14:09:51.286175	-0.002182	0.005454	-0.001091	-0.002182	0.006545	-0.008727
14:09:51.296071	-0.005454	-0.002182	0.007636	-0.001091	0.009817	0.001091
14:09:51.306070	-0.002182	-0.003272	0.002182	-0.005454	0.001091	0.003272
14:09:51.316246	-0.001091	0.005454	0.004363	-0.005454	0.005454	0.007636
14:09:51.326184	-0.006545	0.001091	0.000000	0.005454	-0.002182	-0.003272
14:09:51.336228	0.000000	0.002182	-0.008727	-0.003272	0.002182	-0.006545
14:09:51.346070	-0.004363	0.004363	0.003272	0.000000	0.001091	-0.001091
14:09:51.356217	0.004363	-0.004363	0.004363	0.001091	0.007636	0.003272
14:09:51.366085	0.000000	-0.004363	-0.004363	0.002182	-0.008727	0.002182
