Time	Left_x	Left_y	Left_z	Right_x	Right_y	Right_z
14:09:50.706171	-0.480000	-2.700000	-9.780000	-0.220000	0.380000	-9.950000
14:09:50.716657	-0.470000	-2.700000	-9.770000	-0.230000	0.290000	-9.940000
14:09:50.726093	-0.500000	-2.780000	-9.760000	-0.240000	0.200000	-9.950000
14:09:50.736150	-0.510000	-2.850000	-9.780000	-0.250000	0.220000	-9.980000
14:09:50.746094	-0.500000	-2.810000	-9.820000	-0.250000	0.260000	-10.000000
14:09:50.756100	-0.540000	-2.770000	-9.820000	-0.280000	0.230000	-9.960000
14:09:50.766112	-0.530000	-2.730000	-9.810000	-0.290000	0.320000	-9.960000
14:09:50.776803	-0.560000	-2.710000	-9.780000	-0.260000	0.410000	-9.950000
14:09:50.786130	-0.550000	-2.610000	-9.770000	-0.270000	0.450000	-9.950000
14:09:50.796431	-0.530000	-2.600000	-9.740000	-0.250000	0.430000	-10.000000
14:09:50.806153	-0.490000	-2.640000	-9.790000	-0.230000	0.450000	-9.940000
14:09:50.816090	-0.480000	-2.650000	-9.760000	-0.210000	0.400000	-9.950000
14:09:50.826153	-0.440000	-2.700000	-9.750000	-0.190000	0.350000	-9.900000
14:09:50.836106	-0.480000	-2.710000	-9.760000	-0.210000	0.340000	-9.930000
14:09:50.846140	-0.450000	-2.730000	-9.760000	-0.190000	0.270000	-9.920000
14:09:50.856081	-0.420000	-2.760000	-9.770000	-0.180000	0.280000	-9.980000
14:09:50.866095	-0.460000	-2.730000	-9.780000	-0.210000	0.300000	-9.960000
14:09:50.876552	-0.540000	-2.720000	-9.810000	-0.290000	0.310000	-9.970000
14:09:50.886695	-0.540000	-2.670000	-9.740000	-0.290000	0.340000	-9.990000
14:09:50.896074	-0.570000	-2.650000	-9.750000	-0.270000	0.380000	-9.950000
14:09:50.906293	-0.570000	-2.630000	-9.740000	-0.290000	0.390000	-9.930000
14:09:50.916170	-0.560000	-2.630000	-9.710000	-0.260000	0.430000	-9.930000
14:09:50.926094	-0.550000	-2.620000	-9.750000	-0.220000	0.380000	-9.920000
14:09:50.936134	-0.470000	-2.620000	-9.750000	-0.210000	0.370000	-9.990000
14:09:50.946089	-0.460000	-2.640000	-9.770000	-0.160000	0.380000	-9.970000
14:09:50.956139	-0.440000	-2.710000	-9.780000	-0.160000	0.350000	-9.950000
14:09:50.966460	-0.430000	-2.720000	-9.740000	-0.210000	0.290000	-9.920000
14:09:50.976185	-0.480000	-2.750000	-9.760000	-0.190000	0.280000	-9.950000
14:09:50.986095	-0.500000	-2.750000	-9.760000	-0.260000	0.290000	-9.970000
14:09:50.996153	-0.570000	-2.750000	-9.810000	-0.260000	0.310000	-9.970000
14:09:51.006089	-0.580000	-2.730000	-9.790000	-0.310000	0.300000	-9.940000
14:09:51.016075	-0.610000	-2.740000	-9.750000	-0.340000	0.290000	-9.980000
14:09:51.026150	-0.580000	-2.690000	-9.760000	-0.300000	0.330000	-9.940000
14:09:51.036085	-0.570000	-2.680000	-9.760000	-0.280000	0.380000	-10.010000
14:09:51.046125	-0.520000	-2.680000	-9.740000	-0.250000	0.380000	-9.970000
14:09:51.056354	-0.470000	-2.640000	-9.770000	-0.190000	0.400000	-9.920000
14:09:51.066116	-0.430000	-2.620000	-9.720000	-0.170000	0.360000	-9.940000
14:09:51.076076	-0.410000	-2.660000	-9.770000	-0.140000	0.370000	-9.930000
