Time	Left_x	Left_y	Left_z	Right_x	Right_y	Right_z
14:09:50.706171	-18.676459	2.838890	-164.658946	66.734544	1.007090	177.617867
14:09:50.716657	-18.676052	2.766892	-164.614055	66.734482	1.064868	177.710881
14:09:50.726093	-18.677225	2.769425	-164.586049	66.737689	1.080584	177.764424
14:09:50.736150	-18.671805	2.780072	-164.535023	66.738131	1.101648	177.820019
14:09:50.746094	-18.669304	2.783316	-164.487913	66.737617	1.124173	177.871017
14:09:50.756100	-18.668716	2.800288	-164.470275	66.738255	1.153240	177.928080
14:09:50.766112	-18.671010	2.919516	-164.451590	66.738925	1.321686	177.994776
14:09:50.776803	-18.673715	3.081084	-164.493559	66.736567	1.361048	177.954588
14:09:50.786130	-18.678630	3.095352	-164.548393	66.736770	1.367359	177.933631
14:09:50.796431	-18.681394	3.092152	-164.574326	66.735716	1.368317	177.867804
14:09:50.806153	-18.684671	3.064709	-164.617172	66.733431	1.361097	177.821934
14:09:50.816090	-18.686567	3.033352	-164.635981	66.725727	0.740111	177.387816
14:09:50.826153	-18.686790	2.860241	-164.619228	66.725706	0.810702	177.475754
14:09:50.836106	-18.685819	2.826360	-164.587050	66.725633	0.849795	177.547509
14:09:50.846140	-18.678878	2.748580	-164.529253	66.727557	0.870914	177.598906
14:09:50.856081	-18.677752	2.711091	-164.497688	66.727736	0.884205	177.654164
14:09:50.866095	-18.676075	2.645622	-164.435993	66.727833	0.925330	177.722467
14:09:50.876552	-18.677158	2.818189	-164.467880	66.734842	1.380207	178.049841
14:09:50.886695	-18.680566	2.849189	-164.521899	66.735547	1.430219	178.078261
14:09:50.896074	-18.682850	2.896463	-164.556865	66.733112	1.447266	178.047995
14:09:50.906293	-18.686782	3.013813	-164.621583	66.731276	1.474197	178.017755
14:09:50.916170	-18.689035	3.036907	-164.650252	66.731023	1.475777	177.997475
14:09:50.926094	-18.686845	3.041996	-164.680254	66.728093	1.272107	177.808971
14:09:50.936134	-18.689802	2.998695	-164.718864	66.729305	1.263244	177.799211
14:09:50.946089	-18.691487	2.954191	-164.735389	66.731682	1.205346	177.809431
14:09:50.956139	-18.690222	2.817032	-164.708912	66.732292	1.171866	177.831199
14:09:50.966460	-18.684738	2.708172	-164.646322	66.734026	1.163212	177.873301
14:09:50.976185	-18.685418	2.709175	-164.622169	66.735986	1.161563	177.918091
14:09:50.986095	-18.679921	2.709799	-164.571296	66.736329	1.216890	178.002870
14:09:50.996153	-18.679633	2.744765	-164.554830	66.744460	1.604623	178.300933
14:09:51.006089	-18.679230	2.867402	-164.530887	66.744817	1.647171	178.333239
14:09:51.016075	-18.677364	2.918648	-164.511936	66.742543	1.704569	178.326166
14:09:51.026150	-18.677622	3.081995	-164.550672	66.739452	1.726983	178.281630
14:09:51.036085	-18.680109	3.191777	-164.574072	66.735673	1.717471	178.249278
14:09:51.046125	-18.681780	3.129841	-164.585705	66.733096	1.654333	178.142631
14:09:51.056354	-18.681425	2.993674	-164.617397	66.723740	1.343885	177.886272
14:09:51.066116	-18.683997	2.961619	-164.635849	66.720971	1.225866	177.809521
14:09:51.076076	-18.685031	2.845341	-164.664265	66.718194	0.755805	177.498347
14:09:51.086117	-18.683995	2.782149	-164.676619	66.718511	0.793940	177.563536
14:09:51.096074	-18.685993	2.684143	-164.705496	66.720089	0.853500	177.652425
14:09:51.106128	-18.688008	2.856717	-164.721958	66.726744	1.301917	177.952117
14:09:51.116137	-18.684202	2.872190	-164.723045	66.733771	1.688555	178.210434
14:09:51.126134	-18.683442	2.902526	-164.707117	66.728598	1.657155	178.143958
14:09:51.136079	-18.680988	2.968593	-164.664942	66.726775	1.685479	178.110630
14:09:51.146186	-18.679311	3.011723	-164.649961	66.726712	1.693535	178.076880
14:09:51.156088	-18.673668	2.983965	-164.592100	66.724012	1.702863	178.042950
14:09:51.166126	-18.671788	2.978870	-164.566433	66.721152	1.607544	177.981440
14:09:51.176078	-18.673534	2.924633	-164.553049	66.719500	1.546218	177.991108
14:09:51.186116	-18.672694	2.743247	-164.520881	66.719377	1.493309	178.000683
14:09:51.196109	-18.666096	2.662806	-164.458635	66.720608	1.437297	178.006622
14:09:51.206110	-18.670251	2.627426	-164.479392	66.721146	1.390791	178.018366
14:09:51.216070	-18.668142	2.521914	-164.462396	66.720578	1.344450	178.030130
14:09:51.226118	-18.668317	2.685397	-164.483109	66.721411	1.412883	178.033545
14:09:51.236088	-18.669026	2.914260	-164.549403	66.718410	1.467120	178.020267
14:09:51.246993	-18.671497	3.089629	-164.572455	66.726023	1.774367	178.198512
14:09:51.256482	-18.674156	3.154636	-164.629986	66.722939	1.779328	178.152302
14:09:51.266075	-18.672002	3.221411	-164.619098	66.724602	1.778835	178.126635
14:09:51.276101	-18.669504	3.158567	-164.565254	66.722360	1.705821	178.062919
