Time	Left_x	Left_y	Left_z	Right_x	Right_y	Right_z
15:40:49.192450	-0.480000	-2.760000	-9.780000	-0.320000	-1.010000	-9.890000
15:40:50.192599	-0.510000	-2.750000	-9.750000	-0.330000	-1.030000	-9.900000
15:40:51.192622	0.270000	-2.260000	-13.310000	0.710000	0.640000	-13.110000
15:40:52.192591	2.570000	-2.670000	-8.690000	3.040000	0.090000	-8.720000
15:40:53.192737	2.850000	-3.530000	-7.760000	3.160000	-0.910000	-7.690000
15:40:54.192681	2.130000	-2.960000	-9.870000	2.390000	-0.190000	-9.650000
15:40:55.193012	-0.020000	-0.930000	-15.960000	0.930000	2.040000	-16.100000
15:40:56.193239	-1.030000	-1.530000	-13.080000	-0.340000	1.550000	-13.180000
15:40:57.192871	-0.470000	-1.720000	-12.660000	-0.320000	1.390000	-12.770000
15:40:58.192600	-0.080000	-2.580000	-11.460000	0.390000	0.460000	-11.900000
15:40:59.192587	0.420000	-1.680000	-11.290000	1.000000	1.420000	-11.470000
15:41:00.192629	2.450000	-1.780000	-8.020000	1.920000	0.700000	-8.070000
15:41:01.192601	3.830000	0.370000	-3.840000	3.710000	2.970000	-4.410000
15:41:02.192534	3.280000	-1.210000	-1.660000	3.110000	1.250000	-2.540000
15:41:03.192677	-0.500000	-2.760000	-9.790000	-0.270000	-0.230000	-9.920000
15:41:04.193364	-0.470000	-2.770000	-9.790000	-0.300000	-0.310000	-9.950000
15:41:05.192598	-0.480000	-2.800000	-9.760000	-0.330000	-0.360000	-9.900000
