Time	Left_w	Left_x	Left_y	Left_z	Right_w	Right_x	Right_y	Right_z
15:40:49.192450	0.734474	-0.669593	0.110391	-0.002406	0.742157	-0.640702	0.196462	0.010342
15:40:50.192599	0.712474	-0.692363	0.114050	-0.002567	0.719611	-0.663695	0.203855	0.010608
15:40:51.192622	0.674416	-0.718268	0.171034	0.001423	0.627768	-0.740034	0.241352	0.002537
15:40:52.192591	0.620337	-0.725378	0.280389	-0.101938	0.570666	-0.737349	0.347181	-0.100610
15:40:53.192737	0.579574	-0.735328	0.306654	-0.171320	0.528071	-0.743774	0.373382	-0.168901
15:40:54.192681	0.565721	-0.772428	0.246033	-0.150941	0.518136	-0.782179	0.315218	-0.142719
15:40:55.193012	0.555315	-0.818504	0.143269	-0.033926	0.508130	-0.831407	0.223728	-0.022638
15:40:56.193239	0.535090	-0.835046	0.122079	-0.038387	0.489156	-0.847079	0.206334	-0.024670
15:40:57.192871	0.490164	-0.860709	0.135449	-0.023940	0.442801	-0.868308	0.223386	-0.008239
15:40:58.192600	0.455091	-0.876764	0.142213	-0.062866	0.406562	-0.882120	0.233269	-0.046435
15:40:59.192587	0.396474	-0.901768	0.141759	-0.097608	0.348096	-0.904597	0.233344	-0.078003
15:41:00.192629	0.305548	-0.916644	0.196591	-0.166605	0.254237	-0.912831	0.285038	-0.144417
15:41:01.192601	0.166396	-0.926291	0.216264	-0.259860	0.110990	-0.919538	0.295729	-0.233826
15:41:02.192534	0.192207	-0.939751	0.219246	-0.178481	0.109175	-0.913141	0.318503	-0.229807
15:41:03.192677	0.366797	-0.920451	0.134708	-0.009122	0.339295	-0.911293	0.233274	0.002475
15:41:04.193364	0.336540	-0.931750	0.136108	-0.007549	0.312238	-0.920300	0.235691	0.002118
15:41:05.192598	0.305926	-0.942010	0.137810	-0.005820	0.281215	-0.929447	0.238823	0.003078
