Time	Left_x	Left_y	Left_z	Right_x	Right_y	Right_z
15:40:49.192450	-8.819243	9.145205	-85.415280	-14.371733	17.749997	-83.863560
15:40:50.192599	-9.419799	9.146646	-89.114810	-15.564729	17.907007	-87.837543
15:40:51.192622	-14.516580	13.458441	-95.328942	-21.837102	17.865379	-102.857828
15:40:52.192591	-32.972807	11.536026	-102.351220	-40.316425	14.352103	-109.816901
15:40:53.192737	-40.773917	5.941030	-105.720363	-47.854005	8.227073	-112.906783
15:40:54.192681	-33.465165	2.590116	-108.341216	-40.125455	5.934252	-115.125863
15:40:55.193012	-15.883630	5.945498	-112.520192	-23.724004	10.936589	-119.439800
15:40:56.193239	-14.211821	3.815089	-115.173057	-22.245728	9.210607	-121.805008
15:40:57.192871	-14.934612	5.254216	-121.367046	-23.707121	10.575075	-128.186222
15:40:58.192600	-17.857520	1.100252	-125.308991	-26.867683	6.185833	-131.989665
15:40:59.192587	-19.496052	-3.648354	-131.906328	-28.462118	1.222183	-138.215752
15:41:00.192629	-28.057975	-10.678524	-140.454669	-36.730012	-6.818371	-146.607422
15:41:01.192601	-32.271590	-24.169679	-152.543267	-39.773631	-21.369257	-158.426377
15:41:02.192534	-29.775556	-14.546980	-152.994713	-42.419698	-20.496294	-158.337410
15:41:03.192677	-14.805430	4.705193	-137.157390	-25.417458	9.369923	-141.274678
15:41:04.193364	-15.040410	4.447423	-140.868837	-25.945336	8.689591	-144.523473
15:41:05.192598	-15.302132	4.206628	-144.581997	-26.526866	8.050321	-148.232896
