Time	Left_x	Left_y	Left_z	Right_x	Right_y	Right_z
14:09:02.237580	-0.530000	-2.690000	-9.780000	-0.230000	0.340000	-9.960000
14:09:02.248237	-0.520000	-2.690000	-9.820000	-0.240000	0.330000	-9.920000
14:09:02.257740	-0.510000	-2.680000	-9.800000	-0.210000	0.330000	-9.920000
14:09:02.267953	-0.510000	-2.700000	-9.770000	-0.250000	0.370000	-9.940000
14:09:02.277598	-0.500000	-2.690000	-9.770000	-0.230000	0.340000	-9.990000
14:09:02.287590	-0.500000	-2.690000	-9.740000	-0.250000	0.340000	-10.020000
14:09:02.297615	-0.510000	-2.710000	-9.770000	-0.250000	0.340000	-9.920000
14:09:02.307640	-0.540000	-2.680000	-9.740000	-0.230000	0.340000	-9.950000
14:09:02.317829	-0.500000	-2.680000	-9.800000	-0.250000	0.380000	-9.910000
14:09:02.327677	-0.510000	-2.690000	-9.750000	-0.230000	0.360000	-9.960000
14:09:02.337642	-0.500000	-2.710000	-9.780000	-0.230000	0.340000	-9.950000
14:09:02.347763	-0.500000	-2.690000	-9.800000	-0.240000	0.380000	-9.940000
14:09:02.357554	-0.520000	-2.700000	-9.770000	-0.230000	0.340000	-9.930000
14:09:02.367680	-0.530000	-2.680000	-9.730000	-0.250000	0.340000	-9.940000
14:09:02.377574	-0.490000	-2.700000	-9.760000	-0.250000	0.340000	-9.960000
14:09:02.387713	-0.510000	-2.690000	-9.740000	-0.240000	0.350000	-9.960000
14:09:02.397536	-0.480000	-2.720000	-9.790000	-0.250000	0.310000	-9.920000
14:09:02.407685	-0.520000	-2.670000	-9.780000	-0.230000	0.350000	-9.980000
14:09:02.417601	-0.510000	-2.670000	-9.750000	-0.230000	0.330000	-9.920000
14:09:02.427576	-0.510000	-2.690000	-9.770000	-0.230000	0.340000	-10.000000
14:09:02.437538	-0.510000	-2.710000	-9.790000	-0.240000	0.360000	-9.970000
14:09:02.447591	-0.530000	-2.690000	-9.770000	-0.240000	0.330000	-9.970000
14:09:02.458630	-0.520000	-2.720000	-9.790000	-0.230000	0.360000	-9.930000
14:09:02.467575	-0.510000	-2.720000	-9.750000	-0.250000	0.320000	-9.920000
14:09:02.478266	-0.510000	-2.690000	-9.770000	-0.230000	0.330000	-10.000000
14:09:02.487548	-0.520000	-2.680000	-9.770000	-0.250000	0.360000	-9.960000
14:09:02.497633	-0.510000	-2.690000	-9.800000	-0.260000	0.350000	-9.970000
14:09:02.507559	-0.500000	-2.680000	-9.750000	-0.230000	0.380000	-9.950000
14:09:02.517581	-0.520000	-2.730000	-9.750000	-0.240000	0.360000	-9.940000
14:09:02.527797	-0.500000	-2.690000	-9.780000	-0.250000	0.330000	-9.950000
14:09:02.538603	-0.510000	-2.700000	-9.750000	-0.230000	0.340000	-9.940000
14:09:02.547553	-0.530000	-2.680000	-9.800000	-0.240000	0.360000	-9.930000
14:09:02.558332	-0.500000	-2.670000	-9.770000	-0.220000	0.370000	-9.930000
14:09:02.567548	-0.520000	-2.670000	-9.760000	-0.260000	0.360000	-9.950000
14:09:02.577586	-0.520000	-2.680000	-9.770000	-0.220000	0.350000	-9.950000
14:09:02.587605	-0.510000	-2.680000	-9.740000	-0.220000	0.350000	-9.930000
14:09:02.597627	-0.490000	-2.680000	-9.800000	-0.240000	0.350000	-9.980000
14:09:02.607575	-0.510000	-2.680000	-9.810000	-0.240000	0.330000	-9.950000
14:09:02.617615	-0.510000	-2.710000	-9.770000	-0.220000	0.370000	-9.940000
14:09:02.627553	-0.500000	-2.730000	-9.750000	-0.260000	0.340000	-9.950000
14:09:02.637665	-0.500000	-2.700000	-9.760000	-0.230000	0.350000	-9.960000
