Time	Left_x	Left_y	Left_z	Right_x	Right_y	Right_z
14:09:02.237580	-13.319044	9.400865	-109.207069	45.639169	32.373560	108.074748
14:09:02.248237	-13.330249	9.397542	-109.268742	45.669048	32.365356	108.130443
14:09:02.257740	-13.335091	9.396459	-109.298094	45.694519	32.356907	108.176174
14:09:02.267953	-13.341311	9.394942	-109.327945	45.724312	32.348977	108.228761
14:09:02.277598	-13.348228	9.392692	-109.383559	45.738590	32.346542	108.253998
14:09:02.287590	-13.352482	9.393686	-109.409342	45.760157	32.341279	108.297277
14:09:02.297615	-13.359198	9.393963	-109.438633	45.790978	32.330089	108.347553
14:09:02.307640	-13.367085	9.392034	-109.489804	45.815265	32.325548	108.392489
14:09:02.317829	-13.369313	9.389891	-109.515765	45.841579	32.315415	108.440243
14:09:02.327677	-13.375063	9.389340	-109.540777	45.863457	32.310413	108.481173
14:09:02.337642	-13.381371	9.383470	-109.601632	45.888601	32.305053	108.530946
14:09:02.347763	-13.385869	9.382453	-109.626516	45.910002	32.299011	108.575167
14:09:02.357554	-13.394575	9.379614	-109.677046	45.927334	32.292095	108.604211
14:09:02.367680	-13.396827	9.379844	-109.699495	45.950575	32.283992	108.650663
14:09:02.377574	-13.403107	9.379080	-109.747590	45.971198	32.278210	108.695332
14:09:02.387713	-13.407013	9.377803	-109.772770	45.993926	32.272664	108.739673
14:09:02.397536	-13.416331	9.379538	-109.821625	46.015506	32.263024	108.781672
14:09:02.407685	-13.422082	9.379535	-109.848660	46.038544	32.255725	108.826299
14:09:02.417601	-13.427670	9.378593	-109.898786	46.061058	32.247933	108.866736
14:09:02.427576	-13.432338	9.372739	-109.925988	46.083766	32.239992	108.912164
14:09:02.437538	-13.441888	9.369492	-109.978200	46.108179	32.230876	108.956851
14:09:02.447591	-13.449605	9.363655	-110.002457	46.133599	32.225937	109.003594
14:09:02.458630	-13.457355	9.360179	-110.051805	46.159268	32.216555	109.052454
14:09:02.467575	-13.463870	9.357416	-110.081575	46.171185	32.213467	109.073387
14:09:02.478266	-13.469495	9.357613	-110.128981	46.199189	32.207386	109.128173
14:09:02.487548	-13.473841	9.357619	-110.155901	46.224125	32.199173	109.177348
14:09:02.497633	-13.478257	9.356129	-110.179859	46.247289	32.191139	109.219748
14:09:02.507559	-13.493719	9.350296	-110.233232	46.269353	32.183775	109.261541
14:09:02.517581	-13.496571	9.349799	-110.256773	46.294233	32.177556	109.309463
