Time	Left_w	Left_x	Left_y	Left_z	Right_w	Right_x	Right_y	Right_z
14:09:02.237580	0.581134	-0.801436	0.141361	-0.000598	0.607344	0.652983	0.452362	0.010752
14:09:02.248237	0.580702	-0.801739	0.141424	-0.000603	0.607013	0.653190	0.452507	0.010746
14:09:02.257740	0.580496	-0.801883	0.141452	-0.000598	0.606739	0.653363	0.452624	0.010758
14:09:02.267953	0.580286	-0.802028	0.141488	-0.000604	0.606425	0.653554	0.452769	0.010762
14:09:02.277598	0.579896	-0.802303	0.141526	-0.000586	0.606277	0.653640	0.452844	0.010754
14:09:02.287590	0.579716	-0.802427	0.141561	-0.000569	0.606021	0.653803	0.452951	0.010733
14:09:02.297615	0.579511	-0.802567	0.141609	-0.000565	0.605716	0.653989	0.453090	0.010774
14:09:02.307640	0.579151	-0.802818	0.141655	-0.000555	0.605451	0.654147	0.453216	0.010755
14:09:02.317829	0.578969	-0.802949	0.141661	-0.000549	0.605163	0.654333	0.453333	0.010775
14:09:02.327677	0.578793	-0.803069	0.141698	-0.000551	0.604920	0.654481	0.453443	0.010762
14:09:02.337642	0.578364	-0.803375	0.141714	-0.000550	0.604626	0.654664	0.453571	0.010734
14:09:02.347763	0.578189	-0.803496	0.141741	-0.000549	0.604364	0.654835	0.453675	0.010713
14:09:02.357554	0.577834	-0.803744	0.141788	-0.000550	0.604187	0.654946	0.453751	0.010737
14:09:02.367680	0.577676	-0.803854	0.141805	-0.000532	0.603908	0.655129	0.453858	0.010731
14:09:02.377574	0.577338	-0.804090	0.141846	-0.000510	0.603643	0.655304	0.453958	0.010702
14:09:02.387713	0.577161	-0.804213	0.141867	-0.000508	0.603379	0.655468	0.454072	0.010684
14:09:02.397536	0.576819	-0.804445	0.141941	-0.000482	0.603124	0.655639	0.454163	0.010697
14:09:02.407685	0.576629	-0.804574	0.141981	-0.000477	0.602857	0.655810	0.454272	0.010691
14:09:02.417601	0.576277	-0.804821	0.142016	-0.000450	0.602612	0.655962	0.454376	0.010702
14:09:02.427576	0.576083	-0.804959	0.142021	-0.000481	0.602339	0.656141	0.454480	0.010696
14:09:02.437538	0.575715	-0.805213	0.142072	-0.000488	0.602069	0.656313	0.454590	0.010709
